/* DATA DESCRIPTION:
Citation:	König-Langlo, Gert (2015): Radiosonde PS92/37333 during POLARSTERN cruise PS92 (ARK-XXIX/1) on 2015-05-28 10:45h. Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849528, 
	In: König-Langlo, G (2015): Upper air soundings during POLARSTERN cruise PS92 (ARK-XXIX/1 TRANSSIZ). Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.849656
Project(s):	Meteorological Long-Term Observations @ AWI (AWI_Meteo) (URI: http://www.awi.de/en/science/long-term-observations.html)
Coverage:	LATITUDE: 81.180000 * LONGITUDE: 19.120000
	DATE/TIME START: 2015-05-28T10:45:00 * DATE/TIME END: 2015-05-28T10:45:00
	MINIMUM ALTITUDE: 10 m * MAXIMUM ALTITUDE: 27037 m
Event(s):	PS92/37333 * LATITUDE: 81.180000 * LONGITUDE: 19.120000 * DATE/TIME: 2015-05-28T10:45:00 * LOCATION: Arctic Ocean * CAMPAIGN: PS92 (ARK-XXIX/1) (URI: doi:10.2312/BzPM_0694_2016) * BASIS: Polarstern (URI: http://www.awi.de/en/expedition/ships/polarstern.html) * DEVICE: Radiosonde (RADIO)
Comment:	Height of tropopause 9467 m, precipitable water content 0.6852 cm
Parameter(s):	ALTITUDE [m] (Altitude) * GEOCODE * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Pressure, at given altitude [hPa] (PPPP) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Temperature, air [°C] (TTT) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Humidity, relative [%] (RH) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind direction [deg] (dd) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
	Wind speed [m/s] (ff) * PI: König-Langlo, Gert (http://orcid.org/0000-0002-6100-4107, gert.koenig-langlo@awi.de, http://www.awi.de/en/about-us/organisation/staff/gert-koenig-langlo.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	5580 data points
*/
Altitude [m]	PPPP [hPa]	TTT [°C]	RH [%]	dd [deg]	ff [m/s]
10	1019.1	-3.9	83	125	6.5
35	1015.9	-4.1	75	338	0.7
62	1012.4	-4.4	80	128	1.7
88	1009.1	-4.8	82	113	3.6
114	1005.8	-5.0	83	109	4.6
141	1002.3	-5.3	85	109	5.4
167	999.0	-5.4	86	109	5.9
190	996.1	-5.8	85	110	6.2
210	993.5	-5.9	87	109	6.3
232	990.7	-6.1	88	107	6.4
255	987.8	-6.3	88	104	6.5
274	985.4	-6.5	89	100	6.5
293	983.0	-6.8	90	98	6.6
317	980.0	-6.9	92	96	6.5
344	976.6	-7.1	95	96	6.5
372	973.2	-7.4	96	96	6.4
399	969.8	-7.6	96	96	6.3
426	966.4	-7.8	96	96	6.1
453	963.1	-8.0	97	96	5.9
479	959.8	-8.1	97	97	5.8
506	956.5	-8.3	96	98	5.7
531	953.4	-8.5	96	99	5.7
557	950.3	-8.8	96	99	5.7
585	946.8	-8.9	97	99	5.8
611	943.7	-9.1	97	101	5.8
638	940.4	-9.4	98	104	5.7
665	937.1	-9.5	97	110	5.4
693	933.7	-9.5	97	119	5.0
722	930.2	-9.0	95	131	4.6
749	927.0	-8.1	76	143	4.2
772	924.2	-7.4	50	154	4.0
798	921.2	-6.8	28	163	3.7
823	918.2	-5.8	31	169	3.6
850	915.1	-4.8	38	173	3.5
874	912.3	-4.3	40	175	3.6
899	909.4	-3.8	36	177	3.8
926	906.3	-3.6	34	178	4.1
953	903.2	-3.6	28	180	4.2
979	900.3	-3.5	26	183	4.1
1005	897.3	-3.5	24	186	3.9
1031	894.4	-3.4	20	190	3.8
1055	891.6	-3.4	19	191	3.7
1080	888.8	-3.4	19	191	3.8
1107	885.8	-3.5	20	188	4.0
1135	882.7	-3.6	21	186	4.3
1159	880.0	-3.6	21	184	4.4
1186	877.0	-3.8	22	184	4.5
1212	874.1	-3.8	25	185	4.5
1240	871.0	-3.9	35	187	4.4
1267	868.0	-3.9	33	189	4.5
1293	865.2	-4.0	37	191	4.6
1320	862.2	-4.1	52	192	4.6
1350	859.0	-4.1	42	194	4.6
1372	856.6	-4.0	32	194	4.5
1398	853.7	-3.8	22	194	4.4
1421	851.3	-3.8	22	192	4.3
1447	848.5	-3.6	20	189	4.3
1476	845.3	-3.8	20	188	4.3
1498	843.0	-3.9	20	188	4.4
1523	840.3	-3.9	20	191	4.5
1551	837.4	-4.1	19	194	4.7
1574	834.9	-4.0	18	196	4.9
1599	832.3	-4.0	18	196	5.1
1628	829.2	-4.0	17	195	5.3
1651	826.8	-4.0	17	194	5.5
1677	824.1	-4.1	16	195	5.7
1704	821.3	-4.1	14	198	5.9
1728	818.8	-4.3	14	202	6.0
1756	815.9	-4.3	17	205	6.1
1784	813.0	-4.5	19	206	6.1
1809	810.4	-4.6	18	206	6.0
1835	807.7	-4.8	20	205	5.9
1860	805.1	-4.8	15	203	5.8
1887	802.4	-4.9	17	202	5.9
1913	799.7	-5.1	19	201	6.2
1941	796.9	-5.3	19	201	6.4
1967	794.3	-5.3	18	200	6.6
1992	791.7	-5.3	10	200	6.9
2019	789.0	-5.5	56	199	7.1
2046	786.3	-5.8	63	198	7.2
2074	783.5	-5.9	63	197	7.1
2100	780.9	-6.0	59	196	7.0
2126	778.3	-6.1	51	195	6.7
2150	775.9	-6.1	44	195	6.4
2175	773.5	-6.1	44	195	6.3
2202	770.8	-6.3	45	197	6.3
2229	768.1	-6.4	48	199	6.5
2252	765.9	-6.6	56	201	6.8
2280	763.1	-6.8	64	203	7.0
2309	760.3	-6.8	61	203	7.1
2334	757.9	-6.9	62	202	7.1
2361	755.3	-7.0	58	201	7.0
2386	752.9	-7.1	53	199	7.0
2413	750.3	-7.1	55	198	7.2
2441	747.6	-7.3	57	199	7.4
2467	745.1	-7.4	58	201	7.8
2493	742.6	-7.5	56	203	8.1
2518	740.2	-7.6	56	206	8.4
2547	737.5	-7.8	56	207	8.6
2574	734.9	-8.0	58	208	8.8
2598	732.6	-8.1	57	209	8.8
2624	730.2	-8.3	58	208	8.7
2650	727.8	-8.4	58	207	8.3
2675	725.4	-8.6	58	205	7.8
2701	723.0	-8.8	59	201	7.3
2724	720.8	-9.0	62	198	6.9
2752	718.2	-9.0	61	195	6.6
2778	715.8	-9.3	62	194	6.6
2804	713.4	-9.3	62	193	6.5
2836	710.5	-9.5	64	194	6.5
2863	708.0	-9.8	66	196	6.4
2887	705.8	-9.9	67	199	6.2
2918	703.0	-10.1	66	201	5.9
2946	700.4	-10.3	67	202	5.7
2974	697.9	-10.4	67	204	5.5
3003	695.3	-10.4	65	204	5.5
3032	692.7	-10.5	65	204	5.4
3060	690.1	-10.8	66	203	5.5
3087	687.7	-10.9	68	203	5.5
3112	685.5	-10.9	66	202	5.5
3140	683.0	-11.0	66	201	5.5
3168	680.5	-11.3	64	201	5.4
3192	678.4	-11.3	55	201	5.3
3219	676.0	-11.4	53	202	5.2
3248	673.5	-11.6	53	202	5.3
3268	671.7	-11.8	53	202	5.4
3295	669.3	-11.9	54	200	5.5
3323	666.9	-12.3	60	199	5.6
3346	664.9	-12.5	62	198	5.4
3375	662.4	-12.6	61	196	5.1
3405	659.8	-12.8	62	195	4.8
3429	657.7	-12.8	66	193	4.4
3450	655.9	-12.8	66	192	4.1
3476	653.7	-12.8	66	192	3.9
3506	651.1	-12.8	67	192	3.8
3537	648.5	-13.1	64	193	3.8
3557	646.8	-13.1	63	193	3.7
3578	645.0	-13.1	62	192	3.6
3600	643.1	-13.1	63	190	3.5
3619	641.5	-13.3	66	187	3.4
3642	639.6	-13.5	69	184	3.1
3666	637.6	-13.8	68	181	2.9
3693	635.3	-13.8	66	178	2.8
3714	633.6	-13.9	68	176	2.8
3734	631.9	-14.1	68	174	2.9
3763	629.5	-14.1	68	171	3.2
3792	627.1	-14.3	68	169	3.4
3817	625.0	-14.5	69	168	3.4
3840	623.1	-14.6	65	167	3.4
3865	621.1	-14.6	55	167	3.4
3891	619.0	-14.8	50	169	3.4
3919	616.7	-14.8	38	170	3.5
3946	614.5	-14.9	39	172	3.8
3967	612.8	-15.1	64	172	4.0
